"","X","Stn.Code","Sampling.Date","State","City.Town.Village.Area","Location.of.Monitoring.Station","Agency","Type.of.Location","SO2","NO2","RSPM.PM10","PM.2.5","season","quarter","Type.of.Location.Binary.form"
"1964",1964,695,"17-11-15","Odisha","Kalinga Nagar","Roof of maintenance Office of M/s NINL, Duburi","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,10,116,43,"winter",3,1
"1965",1965,695,"19-11-15","Odisha","Kalinga Nagar","Roof of maintenance Office of M/s NINL, Duburi","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,10,121,41,"winter",3,1
"1966",1966,695,"23-11-15","Odisha","Kalinga Nagar","Roof of maintenance Office of M/s NINL, Duburi","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,10,124,44,"winter",3,1
"1967",1967,695,"26-11-15","Odisha","Kalinga Nagar","Roof of maintenance Office of M/s NINL, Duburi","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,10,119,38,"winter",3,1
"1968",1968,695,"30-11-15","Odisha","Kalinga Nagar","Roof of maintenance Office of M/s NINL, Duburi","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,10,124,43,"winter",3,1
"1969",1969,695,"01-12-15","Odisha","Kalinga Nagar","Roof of maintenance Office of M/s NINL, Duburi","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,11,92,36,"winter",4,1
"1970",1970,695,"03-12-15","Odisha","Kalinga Nagar","Roof of maintenance Office of M/s NINL, Duburi","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,10,108,45,"winter",4,1
"1971",1971,695,"08-12-15","Odisha","Kalinga Nagar","Roof of maintenance Office of M/s NINL, Duburi","Odisha State Pollution Control Board","Residential, Rural and other Areas",3,11,93,37,"winter",4,1
"1972",1972,695,"10-12-15","Odisha","Kalinga Nagar","Roof of maintenance Office of M/s NINL, Duburi","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,10,98,40,"winter",4,1
"1973",1973,695,"15-12-15","Odisha","Kalinga Nagar","Roof of maintenance Office of M/s NINL, Duburi","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,10,102,42,"winter",4,1
"1974",1974,695,"17-12-15","Odisha","Kalinga Nagar","Roof of maintenance Office of M/s NINL, Duburi","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,10,108,46,"winter",4,1
"1975",1975,695,"22-12-15","Odisha","Kalinga Nagar","Roof of maintenance Office of M/s NINL, Duburi","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,10,93,39,"winter",4,1
"1976",1976,695,"26-12-15","Odisha","Kalinga Nagar","Roof of maintenance Office of M/s NINL, Duburi","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,10,102,41,"winter",4,1
"1977",1977,695,"29-12-15","Odisha","Kalinga Nagar","Roof of maintenance Office of M/s NINL, Duburi","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,10,104,43,"winter",4,1
"1978",1978,696,"02-01-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",12,15,134,59,"winter",1,1
"1979",1979,696,"05-01-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",14,18,95,46,"winter",1,1
"1980",1980,696,"08-01-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",11,16,112,48,"winter",1,1
"1981",1981,696,"12-01-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",10,14,148,74,"winter",1,1
"1982",1982,696,"15-01-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",13,15,149,120,"winter",1,1
"1983",1983,696,"20-01-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",12,16,190,67,"winter",1,1
"1984",1984,696,"22-01-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",10,16,192,85,"winter",1,1
"1985",1985,696,"27-01-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",11,13,112,52,"winter",1,1
"1986",1986,696,"29-01-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",10,15,137,68,"winter",1,1
"1987",1987,696,"03-02-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",13,15,190,81,"winter",1,1
"1988",1988,696,"06-02-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,18,117,47,"winter",1,1
"1989",1989,696,"10-02-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",14,16,215,48,"winter",1,1
"1990",1990,696,"12-02-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",17,14,122,49,"winter",1,1
"1991",1991,696,"17-02-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",17,16,84,43,"winter",1,1
"1992",1992,696,"20-02-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,16,177,57,"winter",1,1
"1993",1993,696,"24-02-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",16,16,171,67,"winter",1,1
"1994",1994,696,"27-02-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",11,13,144,56,"winter",1,1
"1995",1995,696,"03-03-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,16,82,42,"summer",1,1
"1996",1996,696,"06-03-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",17,17,162,22,"summer",1,1
"1997",1997,696,"10-03-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",16,18,153,38,"summer",1,1
"1998",1998,696,"12-03-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",17,15,173,56,"summer",1,1
"1999",1999,696,"17-03-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",18,17,185,55,"summer",1,1
"2000",2000,696,"20-03-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",17,17,176,85,"summer",1,1
"2001",2001,696,"24-03-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",18,16,175,72,"summer",1,1
"2002",2002,696,"26-03-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",17,15,175,89,"summer",1,1
"2003",2003,696,"30-03-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,14,113,48,"summer",1,1
"2004",2004,696,"03-04-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",14,15,165,57,"summer",2,1
"2005",2005,696,"07-04-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,16,123,50,"summer",2,1
"2006",2006,696,"09-04-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,17,108,54,"summer",2,1
"2007",2007,696,"14-04-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,15,97,55,"summer",2,1
"2008",2008,696,"17-04-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,16,73,45,"summer",2,1
"2009",2009,696,"21-04-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,17,96,40,"summer",2,1
"2010",2010,696,"24-04-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,16,76,38,"summer",2,1
"2011",2011,696,"28-04-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",16,19,68,40,"summer",2,1
"2012",2012,696,"30-04-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",14,15,83,53,"summer",2,1
"2013",2013,696,"04-05-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",14,15,96,46,"summer",2,1
"2014",2014,696,"07-05-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",14,16,142,35,"summer",2,1
"2015",2015,696,"12-05-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",14,16,119,57,"summer",2,1
"2016",2016,696,"15-05-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,14,97,41,"summer",2,1
"2017",2017,696,"18-05-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",16,15,103,51,"summer",2,1
"2018",2018,696,"22-05-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,15,94,55,"summer",2,1
"2019",2019,696,"26-05-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,15,120,46,"summer",2,1
"2020",2020,696,"29-05-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",13,14,99,33,"summer",2,1
"2021",2021,696,"02-06-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",14,15,98,39,"summer",2,1
"2022",2022,696,"05-06-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,17,144,49,"summer",2,1
"2023",2023,696,"08-06-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",12,14,60,36,"summer",2,1
"2024",2024,696,"11-06-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",16,14,60,21,"summer",2,1
"2025",2025,696,"17-06-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",17,15,41,18,"summer",2,1
"2026",2026,696,"19-06-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,16,37,22,"summer",2,1
"2027",2027,696,"23-06-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",16,16,41,24,"summer",2,1
"2028",2028,696,"26-06-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",10,11,30,18,"summer",2,1
"2029",2029,696,"30-06-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",10,14,25,12,"summer",2,1
"2030",2030,696,"03-07-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,14,47,27,"rainy",2,1
"2031",2031,696,"06-07-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",13,15,52,32,"rainy",2,1
"2032",2032,696,"09-07-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",13,13,46,23,"rainy",2,1
"2033",2033,696,"15-07-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",14,14,42,26,"rainy",2,1
"2034",2034,696,"17-07-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",11,13,53,29,"rainy",2,1
"2035",2035,696,"21-07-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",10,10,61,34,"rainy",2,1
"2036",2036,696,"24-07-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",10,10,54,32,"rainy",2,1
"2037",2037,696,"28-07-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",10,11,61,40,"rainy",2,1
"2038",2038,696,"31-07-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",10,10,57,39,"rainy",2,1
"2039",2039,696,"04-08-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",11,11,77,30,"rainy",3,1
"2040",2040,696,"06-08-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",9,11,63,37,"rainy",3,1
"2041",2041,696,"11-08-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",11,12,99,26,"rainy",3,1
"2042",2042,696,"13-08-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",10,12,43,18,"rainy",3,1
"2043",2043,696,"18-08-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",7,11,65,30,"rainy",3,1
"2044",2044,696,"20-08-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",10,9,68,34,"rainy",3,1
"2045",2045,696,"25-08-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",10,10,80,35,"rainy",3,1
"2046",2046,696,"28-08-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",9,10,73,38,"rainy",3,1
"2047",2047,696,"31-08-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",9,12,91,35,"rainy",3,1
"2048",2048,696,"03-09-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",9,10,117,53,"rainy",3,1
"2049",2049,696,"07-09-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",9,11,119,51,"rainy",3,1
"2050",2050,696,"10-09-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",10,11,108,52,"rainy",3,1
"2051",2051,696,"14-09-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",9,11,74,23,"rainy",3,1
"2052",2052,696,"18-09-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",6,10,70,28,"rainy",3,1
"2053",2053,696,"21-09-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",9,10,78,24,"rainy",3,1
"2054",2054,696,"24-09-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",9,10,84,38,"rainy",3,1
"2055",2055,696,"28-09-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",9,10,93,48,"rainy",3,1
"2056",2056,696,"01-10-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",11,13,132,66,"winter",3,1
"2057",2057,696,"05-10-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",12,14,134,61,"winter",3,1
"2058",2058,696,"08-10-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",12,14,121,49,"winter",3,1
"2059",2059,696,"12-10-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",13,14,124,58,"winter",3,1
"2060",2060,696,"15-10-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",13,15,101,49,"winter",3,1
"2061",2061,696,"19-10-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",12,14,146,60,"winter",3,1
"2062",2062,696,"22-10-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",13,15,139,83,"winter",3,1
"2063",2063,696,"27-10-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",11,14,187,68,"winter",3,1
"2064",2064,696,"30-10-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",12,13,144,63,"winter",3,1
"2065",2065,696,"02-11-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",12,13,168,87,"winter",3,1
"2066",2066,696,"05-11-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",13,14,155,59,"winter",3,1
"2067",2067,696,"09-11-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",12,14,183,87,"winter",3,1
"2068",2068,696,"11-11-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",19,26,220,116,"winter",3,1
"2069",2069,696,"16-11-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",12,15,157,68,"winter",3,1
"2070",2070,696,"19-11-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",14,15,160,70,"winter",3,1
"2071",2071,696,"23-11-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",15,15,175,93,"winter",3,1
"2072",2072,696,"26-11-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",12,14,179,86,"winter",3,1
"2073",2073,696,"30-11-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",11,14,186,107,"winter",3,1
"2074",2074,696,"03-12-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",14,16,87,49,"winter",4,1
"2075",2075,696,"07-12-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",13,14,170,43,"winter",4,1
"2076",2076,696,"10-12-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",12,14,171,112,"winter",4,1
"2077",2077,696,"14-12-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",12,14,184,129,"winter",4,1
"2078",2078,696,"17-12-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",13,15,182,104,"winter",4,1
"2079",2079,696,"21-12-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",13,14,189,124,"winter",4,1
"2080",2080,696,"24-12-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",14,15,115,71,"winter",4,1
"2081",2081,696,"28-12-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",13,14,159,85,"winter",4,1
"2082",2082,696,"31-12-15","Odisha","Rourkela","Over the roof of Dalmia Research Institute, Rajgangpur","Odisha State Pollution Control Board","Residential, Rural and other Areas",13,14,159,84,"winter",4,1
"2083",2083,697,"03-01-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,30,89,51,"winter",1,1
"2084",2084,697,"07-01-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,29,82,46,"winter",1,1
"2085",2085,697,"10-01-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,30,80,55,"winter",1,1
"2086",2086,697,"14-01-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,30,94,47,"winter",1,1
"2087",2087,697,"17-01-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,29,86,51,"winter",1,1
"2088",2088,697,"21-01-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,30,98,59,"winter",1,1
"2089",2089,697,"24-01-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",3,31,93,55,"winter",1,1
"2090",2090,697,"28-01-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,28,88,47,"winter",1,1
"2091",2091,697,"31-01-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,29,86,54,"winter",1,1
"2092",2092,697,"04-02-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,28,92,30,"winter",1,1
"2093",2093,697,"07-02-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,27,80,35,"winter",1,1
"2094",2094,697,"11-02-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,28,80,26,"winter",1,1
"2095",2095,697,"14-02-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,28,93,30,"winter",1,1
"2096",2096,697,"18-02-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,28,78,26,"winter",1,1
"2097",2097,697,"21-02-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,28,81,34,"winter",1,1
"2098",2098,697,"25-02-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,28,79,30,"winter",1,1
"2099",2099,697,"28-02-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,28,76,25,"winter",1,1
"2100",2100,697,"04-03-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,27,59,22,"summer",1,1
"2101",2101,697,"07-03-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,28,70,26,"summer",1,1
"2102",2102,697,"11-03-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,26,73,22,"summer",1,1
"2103",2103,697,"14-03-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,25,68,26,"summer",1,1
"2104",2104,697,"18-03-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,27,73,30,"summer",1,1
"2105",2105,697,"21-03-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,28,81,26,"summer",1,1
"2106",2106,697,"25-03-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,29,77,30,"summer",1,1
"2107",2107,697,"28-03-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,29,76,34,"summer",1,1
"2108",2108,697,"01-04-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,28,61,35,"summer",2,1
"2109",2109,697,"04-04-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,29,66,39,"summer",2,1
"2110",2110,697,"08-04-15","Odisha","Cuttack","Near Barabati Stadium, Tulasipur","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,28,64,35,"summer",2,1
